place,frequency,lat,lon
ドナウ,4,48.0340012,17.2208502
ポ,43,52.1458506,17.397672
ポー,21,52.1458506,17.397672
ボスニア,1,44.3053476,17.5961467
レーニア,2,-21.42686635,17.6031280965181
ストックホルム,3,59.3251172,18.0710935
リビア,1,26.8234472,18.1236723
バンギ,1,4.3907153,18.5509126
ボカ,3,42.45424865,18.6720301816676
チャード,1,15.6134137,19.0156172
チャド,1,15.6134137,19.0156172
ブダペスト,1,47.4979937,19.0403594
ブダ,23,47.4938673,19.0417582
ポーランド,6,52.215933,19.134422
トマン,4,44.3511111,19.3680556
キエフ,1,-6.0249009,19.4599869742471
ハンガリー,13,47.1817585,19.5060937
モンテネグロ,3,42.9868853,19.5180992
アルバニア,2,41.000028,19.9999619
ケーニヒスベルク,2,54.710128,20.5105838
セルビア,5,44.1534121,20.55144
マージー,16,48.0147562,20.8236937
テッサリア,3,39.5594194,21.6848495
マケドニア,2,41.6171214,21.7168387
マセドニア,5,41.6171214,21.7168387
マセドニヤ,1,41.6171214,21.7168387
ローラン,2,66.1368047,21.8224203
マーシャル,6,59.91425735,21.9546804208852
ギリシャ,28,38.9953683,21.9877132
ペロポネソス,4,37.36332825,22.2395373439955
ホーン,5,49.21141,22.30474
ネメア,1,37.8209952,22.6613055
ピーピー,10,7.67174,22.7030797
コリント,7,37.9385413,22.9273768
テバ,3,38.3200705,23.3175613
メガラ,2,37.9965887,23.3445017
マーレ,1,54.5562536,23.3503665
マレ,2,54.5562536,23.3503665
マレー,32,54.5562536,23.3503665
セレ,2,41.0910711,23.5498031
クム,9,9.554058,23.627667
モロ,1,46.9970379,23.6930985
アテーネ,6,37.9839412,23.7283052
アテナイ,2,37.9839412,23.7283052
アテネ,29,37.9839412,23.7283052
コンゴー,5,-2.9814344,23.8222636
ルーマニア,5,45.9852129,24.6859225
ルマン,4,45.9852129,24.6859225
ロマニヤ,1,45.9852129,24.6859225
クク,24,59.07152985,24.8012828742266
アフリカ,153,-28.8166236,24.991639
エストニア,6,58.7523778,25.3319078
