place,frequency,lat,lon
ロシヤ,69,21.9582944,76.1547506
明石,69,34.6491038,134.9927483
池の端,69,37.926094,139.305071
スコットランド,69,56.7861112,-4.1140518
溝口,69,34.9281492,134.7425876
土耳古,69,47.3900474,0.6889268
鞍馬,69,35.112896,135.772269
千曲,68,36.5092242,138.1414571
蜀,68,24.98956575,121.546905745311
圍,68,39.8960768,114.7183017
周防,68,19.6404513,109.4291879
浦和,68,35.8589883,139.6571882
賀茂,67,33.5505567,130.3378299
軽井沢,67,36.3428502,138.6341737
昌平,67,40.1887146,116.1882919
由良,67,35.490244,133.7544842
松前,67,33.7860998,132.7050257
千束,67,34.0898242,132.0663756
柳河,67,42.187778,125.895556
武州,66,23.5715402,111.0139268
歐羅巴,66,43.864464,125.3117046
城山,66,31.6040481,130.5486886
柴,66,36.1162622,139.3247509
轟,66,28.687547,115.8540042
修善寺,66,34.9792025,138.9504702
穂高,66,36.339565,137.8817573
花園,66,28.5755672,109.4769796
竹田,66,34.9564389,135.7561241
大磯,65,35.3111982,139.3135025
淺草,65,35.7175966,139.7975626
平生,65,34.446479,136.598464
神楽坂,65,35.7039298,139.7341347
可也,65,12.6025318,-3.1137237
国府津,65,35.2812891,139.214209
大久保,65,35.7007776,139.6973178
久能,65,36.159599,139.773109
山東,65,36.0000001,118.9999999
佐賀,65,33.2641849,130.2973788
久野,65,35.261465,139.097998
露西亞,64,37.3779309,121.5210253
佛國,64,29.699469,106.047206
不忍,64,34.5772536,135.5396936
豊,64,47.1416307,9.5531527
穴川,64,34.3589863,136.8159816
クルリ,64,35.2958456,140.07575
ペルシア,64,27.2380913,51.19723479886
市川,64,35.7288741,139.9081729
兵庫,64,34.6677915,135.1641816
敦賀,64,35.6449012,136.0765084
高天原,64,36.3779338,140.4164448
尾瀬,64,24.4405,105.799
新町,63,31.5892974,130.5592643
中津川,63,35.500617,137.502847
ニューヨーク,63,40.7127281,-74.0060152
北山,63,35.0512426,135.7652088
ちま,63,34.5446115,1.39079080736882
斉,63,35.9754168,139.4160114
吉川,63,35.8765782,139.8435049
雁坂,63,34.9607512,136.1332431
宮城,62,24.9574263,110.8726488
アラビヤ,62,52.3930662,4.9542949
平,62,37.46826,139.020781
御影,62,42.942228,142.93608
日高,62,33.3038158,130.9573821
天台,62,29.1471696,121.0024424
松原,62,45.1335025,124.8165152
元園町,62,34.585177,135.852852
福知山,62,35.2960352,135.1188702
横濱,61,35.4662066,139.6231953
横須賀,61,35.2840952,139.655981
武藏,61,29.8385873,87.3738507
北米,61,36.8198248,119.4794706
壱岐,61,29.7271877,118.2572654
塞,61,44.1534121,20.55144
埼玉,61,36.1192436,139.4976783
松平,61,36.032503,138.512671
播州,60,27.5396316,106.8214413
桜井,60,34.5132193,135.8466795
安南,60,27.6081533,100.0189973
大英,60,30.5973293,105.2335873
邪馬臺,60,29.803586,103.812715
吉備,59,34.5083867,135.8313346
大洋,59,25.9938758,117.5461854
福建,59,26.5450001,117.842778
志摩,59,35.5146585,136.8940196
霧原,59,41.0346268,108.0919461
三保,59,24.4381936,110.3930712
那須,59,34.5790976,132.183267
デンマーク,59,55.670249,10.3333283
中山,58,22.5196895,113.3870834
浜町,58,31.602241,130.5662856
洛陽,58,34.6196539,112.4477046
日野,58,35.6793418,139.3940441
山口,58,28.8121806,114.4611705
象山,58,22.5196895,113.3870834
三沢,58,40.6693545,141.3536492
チリ,57,-31.7613365,-71.3187697
津島,57,34.1529065,133.000635754464
グリンデルワルト,57,36.1241779,137.615467682817
青柳,56,35.942451,138.1975633
西,56,26.6031069,101.62832
白耳義,56,35.8623916,139.9706966
トルコ,56,38.9597594,34.9249653
狩野,56,35.3128908,139.1034262
韓国,56,36.638392,127.6961188
姫路,56,34.8269005,134.6902424
難波,56,34.6635665,135.5021095
渋谷,56,35.6580785,139.7017546
隼人,56,31.743887,130.7402683
吉岡,56,35.4209862,139.4147443
三峰,56,25.8832071,119.3117723
古市,56,32.1711564,115.6488813
高谷,56,29.395117,108.0658046
吾妻橋,55,35.71010705,139.79893105
紅毛,55,40.3094123,112.623907
米子,55,35.4236321,133.3370422
安行,55,35.8539538,139.7572865
多紀,55,29.9857187,96.0875778
金峰山,55,35.8716612,138.6255109
岐阜,54,35.4094858,136.7569769
室,54,24.82453325,125.146841393793
今戸,54,33.0183453,119.0136509
露國,54,42.1888491,129.1687717
小倉,54,33.8865238,130.8820724
坂の下,54,36.031823,138.550439
川越,54,35.9070821,139.483294
千歳,54,42.8282573,141.6518556
三崎,54,35.8922574,139.6598017
九谷,54,30.1125431,116.2333304
南米,54,35.0360971,136.7902335
前橋,54,36.3832125,139.0726408
草津,54,35.0179088,135.96046
木津,53,34.7358877,135.8249246
真珠,53,21.94086,111.18812
木葉,53,32.9162863,130.6264811
陸中,53,32.0412051,121.1858942
両国,53,35.6957996,139.7929596
石田,53,34.9410548,135.8045232
生田,53,35.6149984,139.5421351
泉州,53,24.8755492,118.6723605
近畿,52,25.156,99.253
須田町,52,35.135925,136.916908
すが,52,66.2551025,71.0521689
坂下,52,35.5746826,137.5310907
足立,52,35.038904,133.383559
浦添,52,25.4557366,119.0029034
千代田,52,34.4688807,135.5663793
羽後,52,25.9551507,119.5438027
三国,52,34.7375647,135.4829803
栃木,52,43.0538068,2.2176533
岡崎,52,34.9255832,137.1573073
安芸,52,33.504921,133.9052491
狗奴,52,35.0504329,135.7717775
相島,52,33.7610167,130.368200302034
比叡,51,35.0700437,135.8419164
湯本,51,37.0064993,140.8499756
茨城,51,29.9777203,121.4454192
鄭,51,39.5181523,140.5822757
足柄,51,35.2719382,139.154451
南宋,51,35.9200861,113.0531151
小金井,51,36.3743446,139.8419693
石狩,51,29.7228427,112.4189037
岩代,51,33.7804911,135.279296
中仙道,51,34.6444872,133.885197
周,51,31.768077,108.4775532
矢島,51,39.2303757,140.1387548
ムツ,50,41.2928444,141.1831247
青梅,50,35.7904504,139.2583321
蒲原,50,35.1140849,138.5831657
